start,end,label,category,dedicated
20/02/2022,20/03/2022,SCCM 015,AOA,0
,20/03/2022,SCCM 015,AOA,1
03/03/2022,03/04/2022,SCCM 012,AOA,0
,03/04/2022,SCCM 012,AOA,1
01/05/2022,31/05/2022,TWS,AOA,0
15/05/2022,15/06/2022,SCOM,AOA,0
17/03/2022,17/04/2022,SCCM 013,EUR,0
,17/04/2022,SCCM 013,EUR,1
24/03/2022,24/04/2022,SCCM 014,EUR,0
,24/04/2022,SCCM 014,EUR,1
01/04/2022,30/04/2022,TWS,EUR,0
15/05/2022,15/06/2022,SCOM,EUR,0
01/04/2022,01/05/2022,SCCM 10-11,AMS,0
,01/05/2022,SCCM 10 and 11,AMS,1
01/05/2022,31/05/2022,TWS,AMS,0
15/05/2022,15/06/2022,SCOM,AMS,0
05/05/2022,05/06/2022,SCCM Admin,Global,0
,05/06/2022,SCCM Central Administration Site,Global,1
05/05/2022,05/06/2022,Shopping,Global,0
,05/06/2022,Shopping,Global,1
